bearing,delay,timestamp,lastLocID,lastStopSeq,nextLocID,nextStopSeq,signMessageLong,tripID,vehicle_id,vehicle_location_longitude,vehicle_location_latitude
296,-44,2017-01-31 01:15:03,8371,7,8372,8,MAX  Red Line to City Center & Beaverton,7126635,235,-122.58193200000001,45.534771
288,-23,2017-01-31 01:17:22,8372,8,8373,9,MAX  Red Line to City Center & Beaverton,7126635,235,-122.609747,45.527784999999994
288,-7,2017-01-31 01:19:27,8373,9,8374,10,MAX  Red Line to City Center & Beaverton,7126635,235,-122.62406399999999,45.533578999999996
269,21,2017-01-31 01:22:57,8374,10,8375,11,MAX  Red Line to City Center & Beaverton,7126635,235,-122.655078,45.530091999999996
270,23,2017-01-31 01:24:25,8375,11,8376,12,MAX  Red Line to City Center & Beaverton,7126635,235,-122.659035,45.530105999999996
273,-121,2017-01-31 01:28:34,8376,12,8377,13,MAX  Red Line to City Center & Beaverton,7126635,235,-122.664107,45.530131
225,-147,2017-01-31 01:29:49,8377,13,8378,14,MAX  Red Line to City Center & Beaverton,7126635,235,-122.66641100000001,45.529893
178,-159,2017-01-31 01:33:32,8378,14,8379,15,MAX  Red Line to City Center & Beaverton,7126635,235,-122.671416,45.524033
198,-190,2017-01-31 01:34:57,8379,15,8380,16,MAX  Red Line to City Center & Beaverton,7126635,235,-122.671297,45.522025
200,-245,2017-01-31 01:37:04,8380,16,8381,17,MAX  Red Line to City Center & Beaverton,7126635,235,-122.672855,45.519092
290,-296,2017-01-31 01:40:57,8381,17,8382,18,MAX  Red Line to City Center & Beaverton,7126635,235,-122.677044,45.518636
290,-348,2017-01-31 01:42:43,8382,18,8383,19,MAX  Red Line to City Center & Beaverton,7126635,235,-122.678308,45.518975
290,-367,2017-01-31 01:44:30,8383,19,8384,20,MAX  Red Line to City Center & Beaverton,7126635,235,-122.68028999999999,45.519506
290,-400,2017-01-31 01:46:17,8384,20,9757,21,MAX  Red Line to City Center & Beaverton,7126635,235,-122.68346399999999,45.520355
199,-378,2017-01-31 01:49:17,9757,21,9820,22,MAX  Red Line to City Center & Beaverton,7126635,235,-122.69071699999999,45.521179
204,-374,2017-01-31 01:50:42,9820,22,10117,23,MAX  Red Line to City Center & Beaverton,7126635,235,-122.69188500000001,45.519588
287,-384,2017-01-31 01:52:46,10117,23,10121,24,MAX  Red Line to City Center & Beaverton,7126635,235,-122.696751,45.51895
267,-390,2017-01-31 01:56:24,10121,24,9624,25,MAX  Red Line to City Center & Beaverton,7126635,235,-122.72186200000002,45.510595
173,23,2017-01-31 01:06:15,10573,4,11615,5,MAX  Red Line to City Center & Beaverton,7126635,235,-122.567116,45.555490999999996
119,22,2017-01-31 01:03:11,10575,3,10573,4,MAX  Red Line to City Center & Beaverton,7126635,235,-122.557422,45.571988
169,29,2017-01-31 01:01:15,10577,2,10575,3,MAX  Red Line to City Center & Beaverton,7126635,235,-122.56686599999999,45.575963
130,49,2017-01-31 01:00:16,10579,1,10577,2,MAX  Red Line to City Center & Beaverton,7126635,235,-122.568707,45.579161
174,99,2017-01-31 01:07:39,11615,5,8370,6,MAX  Red Line to City Center & Beaverton,7126635,235,-122.561682,45.541724
304,-23,2017-01-31 01:12:34,8370,6,8371,7,MAX  Red Line to City Center & Beaverton,7126635,249,-122.564149,45.531764
296,-44,2017-01-31 01:15:03,8371,7,8372,8,MAX  Red Line to City Center & Beaverton,7126635,249,-122.58193200000001,45.534771
